,Contribution
fraud_growth,0.1272727272727273
degree_change,0.06638095238095239
growth_rate,0.040647298674821614
clustering_change,0.038262910798122066
node_churn,0.02032364933741081
feature_drift,0.019912395722165594
density_change,0.018750000000000003
structural_stability,0.00819837012585104
variance_drift,0.000599091156640833
