Feature,Average Contribution
fraud_growth,0.08249759795989137
degree_change,0.0646954445746068
clustering_change,0.03785838445939127
growth_rate,0.03207835350514222
density_change,0.025116232143038236
feature_drift,0.019612026407452954
node_churn,0.01603917675257111
structural_stability,0.0020170379663587965
variance_drift,0.0014914987593059718
