pcid,timestep,community,growth_rate,density_change,degree_change,fraud_growth,clustering_change,feature_drift,variance_drift,lifetime,persistence,average_match_score,node_churn,structural_stability,is_fraud_community,afei,feature_contributions
161,22,18,5.2,-0.8387096774193549,0.2499999999999999,0.0,0.0,4.761239680632781,0.2951492966972863,5,1.0,0.8736600000000001,7.2,0.7337278106508877,1,0.5359404021154572,"{'growth_rate': np.float64(0.19207951070336393), 'density_change': np.float64(0.004032258064516128), 'degree_change': np.float64(0.08095238095238097), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.012210144422213439), 'variance_drift': np.float64(0.00151743578486489), 'node_churn': np.float64(0.09603975535168197), 'structural_stability': np.float64(0.025997521189828877)}"
66,21,52,4.666666666666667,-0.8125,0.5441176470588235,0.0,0.0,3.6369618259328136,2.5393850328430907,2,0.4,0.8166,6.666666666666667,0.6886075949367089,0,0.5348048757599267,"{'growth_rate': np.float64(0.17548419979612642), 'density_change': np.float64(0.004687500000000001), 'degree_change': np.float64(0.1), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.009229991145405833), 'variance_drift': np.float64(0.0041468497253151874), 'node_churn': np.float64(0.08774209989806321), 'structural_stability': np.float64(0.030402839548409166)}"
330,22,10,5.454545454545454,-0.857981220657277,-0.132394366197183,0.0,-0.8889141299409359,3.227807607134796,0.6734166381733098,3,0.6,0.8232666666666666,7.454545454545454,0.6148435887447835,0,0.4965480750634397,"{'growth_rate': np.float64(0.2), 'density_change': np.float64(0.003550469483568075), 'degree_change': np.float64(0.056187793427230064), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.004250468737001749), 'feature_drift': np.float64(0.008145435151731144), 'variance_drift': np.float64(0.001960625154357004), 'node_churn': np.float64(0.1), 'structural_stability': np.float64(0.037604798261066746)}"
855,24,38,3.5,-0.7777777777777778,0.2962962962962963,0.0,0.0,6.033523889187802,0.4468933013962466,2,0.4,0.91605,5.5,0.7363636363636363,0,0.4644085219571344,"{'growth_rate': np.float64(0.13918195718654436), 'density_change': np.float64(0.005555555555555556), 'degree_change': np.float64(0.08395061728395063), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.015582622086258213), 'variance_drift': np.float64(0.0016952236147746082), 'node_churn': np.float64(0.06959097859327218), 'structural_stability': np.float64(0.025740171990171996)}"
92,21,12,2.75,-0.7333333333333334,0.3777777777777779,0.0,0.0,8.618043954313729,-0.0589371688920969,4,0.8,0.7762249999999999,4.75,0.7297297297297297,0,0.4426967075043977,"{'growth_rate': np.float64(0.11584480122324159), 'density_change': np.float64(0.006666666666666665), 'degree_change': np.float64(0.08922751322751327), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.022433478312644993), 'variance_drift': np.float64(0.0011025774552562348), 'node_churn': np.float64(0.057922400611620795), 'structural_stability': np.float64(0.026387874360847344)}"
585,23,114,0.0,0.0,0.0,0.0,0.0,56.7431576692132,0.0,2,0.4,0.88315,2.0,1.0,0,0.4094577744563084,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.15), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
875,24,212,0.0,0.0,0.0,0.0,0.0,53.28923355110517,0.0,2,0.4,0.9309,2.0,1.0,0,0.4003023657329271,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.14084459127661872), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
212,21,34,2.25,-0.6923076923076923,0.2820512820512821,0.0,0.0,2.507274576623783,2.239436870294547,5,1.0,0.7801,4.25,0.7548387096774194,0,0.3982291084475276,"{'growth_rate': np.float64(0.10028669724770643), 'density_change': np.float64(0.007692307692307693), 'degree_change': np.float64(0.08302808302808305), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.0062354990421218765), 'variance_drift': np.float64(0.0037954214562991775), 'node_churn': np.float64(0.050143348623853216), 'structural_stability': np.float64(0.023936355710549258)}"
531,23,35,2.25,-0.6923076923076923,-0.094017094017094,0.0,0.0,11.11697556452047,-0.3113570010158501,2,0.4,0.92315,4.25,0.7923250564334086,0,0.3900475968077398,"{'growth_rate': np.float64(0.10028669724770643), 'density_change': np.float64(0.007692307692307693), 'degree_change': np.float64(0.05867317867317867), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.02905746294023791), 'variance_drift': np.float64(0.00080683480454336), 'node_churn': np.float64(0.050143348623853216), 'structural_stability': np.float64(0.02027637117930572)}"
6,21,11,-0.1515151515151515,0.1785714285714284,-0.0434782608695651,1.357142857142857,0.0,4.610801345166044,0.2957095616678967,2,0.4,0.8591,1.8484848484848484,0.9310843373493978,1,0.3880724006383685,"{'growth_rate': np.float64(0.02556065239551479), 'density_change': np.float64(0.02946428571428571), 'degree_change': np.float64(0.06194616977225673), 'fraud_growth': np.float64(0.2), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.011811373516494297), 'variance_drift': np.float64(0.001518092208118625), 'node_churn': np.float64(0.012780326197757392), 'structural_stability': np.float64(0.006728590035818938)}"
